lat,lon,sst
9.6875,-120.1875,26.6600
9.6458,-139.9792,26.0600
9.6458,-139.9375,26.3400
9.6458,-139.8958,26.6100
9.6458,-139.8542,26.7450
9.6458,-139.8125,26.8650
9.6458,-139.7708,26.7450
9.6458,-139.7292,26.6250
9.6458,-139.6875,26.6250
9.6458,-139.6458,26.6850
9.6458,-139.6042,26.5450
9.6458,-139.5625,26.6100
9.6458,-139.5208,26.7000
9.6458,-139.4792,26.5400
9.6458,-139.4375,25.8600
9.6458,-139.3958,25.0300
9.6458,-139.3542,25.3400
9.6458,-139.3125,25.9700
9.6458,-139.2708,26.6300
9.6458,-139.2292,26.6300
9.6458,-139.1875,25.4500
9.6458,-139.1458,25.4500
9.6458,-139.1042,26.3500
9.6458,-139.0625,26.3300
9.6458,-139.0208,26.2550
9.6458,-138.9792,26.3100
9.6458,-138.9375,26.5050
9.6458,-138.8958,26.3400
9.6458,-138.8542,26.3450
9.6458,-138.8125,26.6350
9.6458,-138.7708,26.4900
9.6458,-138.7292,26.4100
9.6458,-138.6875,26.5150
9.6458,-138.6458,25.8450
9.6458,-138.6042,26.5500
9.6458,-138.5625,26.1450
9.6458,-138.5208,26.5400
9.6458,-138.4792,26.4900
9.6458,-138.4375,26.3150
9.6458,-138.3958,26.1800
9.6458,-138.3542,26.3600
9.6458,-138.3125,26.6550
9.6458,-138.2708,26.6050
9.6458,-138.2292,26.5900
9.6458,-138.1875,26.5100
9.6458,-138.1458,26.6450
9.6458,-138.1042,26.7600
9.6458,-138.0625,26.7450
9.6458,-138.0208,26.7200
9.6458,-137.9792,26.6500
9.6458,-137.9375,26.4650
9.6458,-137.8958,26.3350
9.6458,-137.8542,26.5250
9.6458,-137.8125,26.6650
9.6458,-137.7708,26.7700
9.6458,-137.7292,26.9750
9.6458,-137.6875,27.0450
9.6458,-137.6458,27.0650
9.6458,-137.6042,27.0550
9.6458,-137.5625,26.9650
9.6458,-137.5208,26.6850
9.6458,-137.4792,26.4100
9.6458,-137.4375,26.2800
9.6458,-136.1875,25.7700
9.6458,-136.1458,26.6500
9.6458,-136.1042,26.7050
9.6458,-136.0625,26.8150
9.6458,-136.0208,26.9100
9.6458,-135.9792,26.9000
9.6458,-135.9375,26.7400
9.6458,-135.8958,26.6050
9.6458,-135.8542,26.9700
9.6458,-135.8125,27.0050
9.6458,-135.7708,26.5850
9.6458,-135.7292,26.4700
9.6458,-135.6875,26.8450
9.6458,-135.6458,26.4650
9.6458,-135.6042,26.4600
9.6458,-131.7292,26.7950
9.6458,-131.6875,26.7950
9.6458,-131.6458,26.9250
9.6458,-131.6042,26.9200
9.6458,-122.2292,26.5450
9.6458,-122.1875,26.5050
9.6458,-122.1458,27.1700
9.6458,-122.1042,27.7000
9.6458,-121.6458,28.2100
9.6458,-121.6042,28.1650
9.6458,-121.5625,28.0600
9.6458,-121.5208,28.1650
